"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","28,538.44","28,414.64","28,547.35","28,376.49","193.34M","0.27%"
"Dec 30, 2019","28,462.14","28,654.76","28,664.69","28,428.98","185.07M","-0.64%"
"Dec 27, 2019","28,645.26","28,675.34","28,701.66","28,608.98","184.93M","0.08%"
"Dec 26, 2019","28,621.39","28,539.46","28,624.10","28,535.15","155.97M","0.37%"
"Dec 24, 2019","28,515.45","28,572.57","28,576.80","28,503.21","95.29M","-0.13%"
"Dec 23, 2019","28,551.53","28,491.78","28,582.49","28,491.78","233.47M","0.34%"
"Dec 20, 2019","28,455.09","28,608.64","28,608.64","28,445.60","603.78M","0.28%"
"Dec 19, 2019","28,376.96","28,278.31","28,381.48","28,278.24","262.57M","0.49%"
"Dec 18, 2019","28,239.28","28,291.44","28,323.25","28,239.28","289.89M","-0.10%"
"Dec 17, 2019","28,267.16","28,221.75","28,328.63","28,220.56","286.77M","0.11%"
"Dec 16, 2019","28,235.89","28,191.67","28,337.49","28,191.67","286.77M","0.36%"
"Dec 13, 2019","28,135.38","28,123.64","28,290.73","28,028.32","254.81M","0.01%"
"Dec 12, 2019","28,132.05","27,898.34","28,224.95","27,859.87","277.74M","0.79%"
"Dec 11, 2019","27,911.30","27,867.31","27,925.50","27,801.80","221.70M","0.11%"
"Dec 10, 2019","27,881.72","27,900.65","27,949.02","27,804.00","215.81M","-0.10%"
"Dec 09, 2019","27,909.60","27,987.05","28,010.42","27,906.14","219.07M","-0.38%"
"Dec 06, 2019","28,015.06","27,839.68","28,035.85","27,839.68","224.83M","1.22%"
"Dec 05, 2019","27,677.79","27,736.05","27,745.20","27,562.80","219.99M","0.10%"
"Dec 04, 2019","27,649.78","27,634.63","27,727.45","27,612.08","218.20M","0.53%"
"Dec 03, 2019","27,502.81","27,501.98","27,524.74","27,325.13","275.35M","-1.01%"
"Dec 02, 2019","27,783.04","28,109.74","28,109.84","27,782.35","236.61M","-0.96%"
"Nov 29, 2019","28,051.41","28,103.16","28,119.51","28,042.53","122.62M","-0.40%"
